staker,lp,stt,ste,faction
terra1ly3mx9e5sczw35xuwm2ya4v7hsrl8a9yqj6kr7,0.190939,0.01,0.24867375,degens
terra1lys8rucgnzxx99gxaa7c2mddng7tdtuw6sfld2,22.869083,136.352049,164.93840275,degens
terra1lydvtcd6px5f593rm9xkxgy3y7xrrr7d0j8x0r,0.263457,0.1,0.42932125,degens
terra1lrlgnkcghzenkufsec7jhwu8kkvlwyp707aucu,2.009179,95,97.51147375,degens
terra1lr7cf26l7umpt22tmjjvlchw07eu6js4ytw5yk,1.052557,1,2.3156962500000002,degens
terra1lrh6zrjf6345ejpcvm04xlvrz6pxa0vr9urcud,249.409016,2,313.76127,degens
terra1lr2xlc2uph5p3p0ng6he0y6fxzgaq38f6smaxz,0.478548,2,2.598185,degens
terra1lr9ylfzrafe66hwpdv2m0qwxrc27f9acyncazv,2461.410908,0,3076.763635,degens
terra1lzka49l2vfz20z9pdfqkdwtdsvvu5mcaprankw,511,1122,1760.75,degens
terra1lz5r84djv2pc9l3pfk4tpkg08rqms7dpfr3a7y,150.548844,41.369674,229.555729,degens
terra1lpslewvs2etplywlsuv03f2589kvy6v9cv5lmg,291,342.673357,706.423357,degens
terra1lp2h43kd8ex05pyaletfzsakh57744t3c5wm6v,436.118181,11.61242,556.76014625,degens
terra1lp2rdyee3284th0w8ayfysqy3a2gv2zkc976zx,0.138666,0,0.1733325,degens
terra1lpgrqku5aer28msxdtfnlcldl36646kfrth8v4,2.721394,0,3.4017425,degens
terra1lpprq5l7d2xuqp3ylszrvlk26q7pj836m34wx9,0.15,0.03,0.2175,degens
terra1lqlg3vs08jv0c2gr608ngeftg6kpah8j5vwxec,399.748989,0,499.68623625,degens
terra1lqum20zwewm6v9h8w3hquscuxl85fc85k7d48x,34.058405,501.506895,544.07990125,degens
terra17lkkhegetxqua7s7g7k3xr9hxzcpvf8p878cnl,0.020235,0.937092,0.96238575,degens
terra17lrjrktf2rdj9mqe846n8sgxj4wxc8tv6c5cjh,0.459596,0.064864,0.639359,degens
terra17lpcuv6ssvqu5akyqh75j2zwfce6ucwws86qe0,1.115558,21.001048,22.395495500000003,degens
terra1774aupeakmmauycum06z7ukltp48zw5akdqxvt,135.19,0,168.9875,degens
terra177wernqnvszsa5kg50s0x8jka8dr297pu5x0w3,0.870525,0,1.08815625,degens
terra1778j3wg5wqrrmdv6qs0chap720pcdpfeg89kxw,27.466123,0,34.33265375,degens
terra177943g9828alwqxayghj3vvwvqxpng7zf7tasj,9.353812,1.008951,12.701215999999999,degens
terra17aq6ny6q6grje3eqm76f5stpkc9c8a3ac4am7e,40.888642,57.074629,108.18543149999999,degens
terra17aq6ywwxu38ccmghqwjhmsduf03xwfjvj6jchd,140.921081,100,276.15135124999995,degens
terra17u4y95djyyntrlm320hy0jsclf3hp9w69kdf7l,1.005756,0.1,1.3571950000000002,degens
terra17uwzuplgw5ag0jx8rdtaa8568r6tnmyns3h687,313.710696,251.203359,643.341729,degens
terra17u9gvvrwy0uzdcmcpxc3zeu0fs4pxkp65jkr6e,4324.423491,0,5405.52936375,degens
terra17uzra4rjd2rdsfsahgxk9tnyvzh0jfackj5sly,10.662693,0,13.328366250000002,degens
terra17m7wf3w6qehfjz4f6lz6arpjz8jnn4m4r2rkxa,335.599986,141.614138,561.1141205,degens
terra17mexef7k80fqjkf0jkj604cp9x85lp6j8ng6fd,1.913641,0,2.3920512499999997,degens
terra17mczukfnkxyzv9ahz33tjpn5eu29nv3dxp28a6,10,6,18.5,degens
terra17mg4q8ta0wda5gl8zsghcaryfzap2t6jj38mvf,1684.527245,928.972514,3034.63157025,degens
terra17m8jyg63xl0tmrpm6z0a4kv0026633gq6q333n,5.048913,0,6.3111412499999995,degens
terra17mx82zu9r7eluvl3xl5369mwhagjkfm443n3cj,0.814737,0,1.01842125,degens
terra17mqzhvumax3hn0qnxkw549m2qnz39a9rqwu4ge,0.223122,0.019569,0.2984715,degens
terra1768k3j3sxmmujfzru4tfz9ky3hel9akh7pahwl,0.214568,0.09,0.35821000000000003,degens
terra17esr7jvya08vu430jr6k0a0q58x5sr5eu25kxa,0.201464,0.01,0.26183,degens
terra17e8nustf25wq6n6sufg6935gjlvf78gt3p0xx7,43.292659,46.216999,100.33282275,degens
terra17eyuwh555eq90mt7e34gwfeemrx3tgkn65thw4,153.258026,0.1,191.6725325,degens
terra17epryksxupthyvhhgt8lgwlkgywwp9zx2qzduc,994.678341,0,1243.34792625,degens
terra17c73psehgm2w2umhveudxy8x8zvx8nt8wu7u4f,0.82,0.01,1.035,degens
terra17ca7ph0haa0yquchl70hkm94f385cydn8g2uk2,142.552093,2.647981,180.83809725,degens
terra17cu2saa24t5hjh6usyld6esavs0stg53h0xesd,108.15935,0,135.1991875,degens
terra17cc4mc50499p953paxrn7kqmcwqndf488djhpl,3.790192,0.193419,4.931158999999999,degens
terra17cndv2978pf9wcystakj0drgswafrh2hqt4ysz,197.678211,0,247.09776375,degens
terra17cjcm4xpel2jzphamrd42ud3627pa85w9geg3f,19.444343,732.55072,756.85614875,degens
terra17cj0a5wj86qyx0xsz2ach9kn384dfyal0yeqcm,7686.889198,0,9608.6114975,degens
terra17crhxhvuvwg9emfh03f0aent2ze5qnzgxscp36,2094.450564,8.751472,2626.8146770000003,degens
terra17czt5ktve6v23km7tr86czt7rdrmv8pjk8ckfm,0.190214,0,0.2377675,degens
terra17hlp4609eh5g7m92p6ax4vj2z2na2kzqvy7njc,0.147476,0.200013,0.384358,degens
